masa_A
t,x,y,v
0.000000000E0,3.044196366E-4,7.316914440E-2,
3.333333333E-2,6.355964257E-4,7.283213645E-2,4.230342179E-2
6.666666667E-2,3.111914929E-3,7.290145647E-2,8.085114707E-2
1.000000000E-1,6.025420162E-3,7.288433283E-2,9.866161566E-2
1.333333333E-1,9.687941970E-3,7.276507816E-2,1.186525631E-1
1.666666667E-1,1.393258279E-2,7.266619880E-2,1.398758670E-1
2.000000000E-1,1.901227300E-2,7.264865743E-2,1.529063008E-1
2.333333333E-1,2.412405325E-2,7.245047235E-2,1.557141638E-1
2.666666667E-1,2.938769835E-2,7.231020168E-2,1.627521303E-1
3.000000000E-1,3.497043975E-2,7.216502262E-2,1.680048679E-1
3.333333333E-1,4.058779278E-2,7.223840778E-2,1.693583080E-1
3.666666667E-1,4.626070602E-2,7.224560909E-2,1.689117188E-1
4.000000000E-1,5.184553475E-2,7.197679742E-2,1.758909877E-1
4.333333333E-1,5.794265814E-2,7.122943252E-2,1.793927832E-1
4.666666667E-1,6.374364422E-2,7.076639137E-2,1.834310286E-1
5.000000000E-1,7.009333055E-2,6.984989434E-2,1.902632920E-1
5.333333333E-1,7.633337030E-2,6.922100440E-2,1.961573172E-1
5.666666667E-1,8.307820089E-2,6.829905204E-2,1.924197880E-1
6.000000000E-1,8.906892141E-2,6.768381236E-2,1.881445631E-1
6.333333333E-1,9.552732683E-2,6.676758818E-2,1.887395193E-1
6.666666667E-1,1.015501942E-1,6.608991058E-2,1.884581344E-1
7.000000000E-1,1.080110509E-1,6.535068857E-2,1.869937869E-1
7.333333333E-1,1.139613690E-1,6.491935859E-2,1.751556006E-1
7.666666667E-1,1.196688168E-1,6.468004922E-2,1.726533495E-1
8.000000000E-1,1.254642633E-1,6.450867382E-2,1.692312231E-1
8.333333333E-1,1.309485684E-1,6.445077229E-2,1.692490084E-1
8.666666667E-1,1.367442474E-1,6.423650225E-2,1.752671044E-1
9.000000000E-1,1.426101279E-1,6.371936664E-2,1.702310100E-1
