t,x,y,v
0.0,-0.0009,0.0742,0.0
0.0331,0.0003,0.0736,0.0568
0.0669,0.0026,0.0729,0.0813
0.1,0.0054,0.0722,0.1036
0.1331,0.0093,0.0714,0.1257
0.1669,0.0136,0.0706,0.1429
0.2,0.0186,0.0698,0.1588
0.2331,0.0241,0.0691,0.1794
0.2669,0.0304,0.0681,0.1947
0.3,0.0369,0.0672,0.2046
0.3331,0.0439,0.0663,0.2212
0.3669,0.0515,0.0657,0.2371
0.4,0.0596,0.0652,0.2476
0.4331,0.0679,0.0645,0.2528
0.4669,0.0764,0.0639,0.254
0.5,0.0848,0.0636,0.2661
0.5331,0.0941,0.0633,0.2811
0.5669,0.1034,0.0629,0.2823
0.6,0.1128,0.0625,0.2841
0.6331,0.1223,0.0621,0.2894
0.6669,0.1322,0.0615,0.2835
0.7,0.1411,0.061,0.2655
0.7331,0.1498,0.0604,0.2569
0.7669,0.1583,0.0597,0.2462
0.8,0.1662,0.0591,0.227
0.8331,0.1733,0.0589,0.221
0.8669,0.1809,0.0585,0.2248
0.9,0.1882,0.0586,0.2297
0.9331,0.196,0.0584,0.2367
0.9669,0.2041,0.0582,0.2403
1.0,0.212,0.0577,0.2319
1.0331,0.2193,0.0572,0.2103
1.0669,0.2257,0.0561,0.1864
1.1,0.2314,0.0552,0.1592
1.1331,0.2362,0.0547,0.1331
1.1669,0.2402,0.0543,0.1135
1.2,0.2437,0.0545,0.1061
1.2331,0.2473,0.055,0.1138
1.2669,0.2512,0.0556,0.1173
1.3,0.255,0.0558,0.1091
1.3331,0.2584,0.0553,0.1007
1.3669,0.2617,0.0544,0.0793
1.4,0.2633,0.0537,0.0495
1.4331,0.2646,0.0536,0.0524
1.4669,0.2668,0.0538,0.0483
1.5,0.2682,0.0539,0.0578
1.5331,0.2695,0.0537,0.072
