masa_A
t,x,y,v
0.000,-1.905E-3,8.876E-2,
0.033,-1.890E-3,8.730E-2,4.557E-2
0.067,2.517E-4,8.662E-2,8.557E-2
0.100,3.512E-3,8.546E-2,0.122
0.133,7.901E-3,8.379E-2,0.158
0.167,1.365E-2,8.255E-2,0.159
0.200,1.825E-2,8.141E-2,0.160
0.233,2.402E-2,8.006E-2,0.206
0.267,3.159E-2,7.802E-2,0.240
0.300,3.942E-2,7.582E-2,0.247
0.333,4.757E-2,7.402E-2,0.260
0.367,5.633E-2,7.197E-2,0.267
0.400,6.508E-2,7.079E-2,0.266
0.433,7.380E-2,6.906E-2,0.252
0.467,8.168E-2,6.799E-2,0.250
0.500,9.032E-2,6.678E-2,0.256
0.533,9.851E-2,6.521E-2,0.232
0.567,0.106,6.405E-2,0.225
0.600,0.113,6.297E-2,0.218
0.633,0.120,6.292E-2,0.213
0.667,0.128,6.336E-2,0.242
0.700,0.136,6.351E-2,0.285
0.733,0.147,6.255E-2,0.297
0.767,0.156,6.203E-2,0.257
0.800,0.164,6.144E-2,0.236
0.833,0.172,6.120E-2,0.243
0.867,0.180,6.105E-2,0.249
0.900,0.188,6.050E-2,0.269
0.933,0.197,5.768E-2,0.271
0.967,0.206,5.654E-2,0.281
1.000,0.216,5.519E-2,0.276
1.033,0.224,5.479E-2,0.227
1.067,0.231,5.367E-2,0.189
1.100,0.236,5.177E-2,0.156
1.133,0.241,5.107E-2,0.152
1.167,0.246,5.126E-2,0.153
1.200,0.251,5.180E-2,0.136
1.233,0.255,5.249E-2,0.122
1.267,0.259,5.297E-2,0.106
1.300,0.263,5.271E-2,7.466E-2
1.333,0.264,5.251E-2,6.150E-2
1.367,0.267,5.178E-2,6.008E-2
1.400,0.268,5.099E-2,4.595E-2
1.433,0.270,5.125E-2,6.264E-2
1.467,0.272,5.159E-2,7.685E-2
1.500,0.275,5.150E-2,9.043E-2
1.533,0.278,5.158E-2,6.059E-2
1.567,0.279,5.157E-2,
