masa_A
t,x,y,v
0.000,-2.537E-3,7.905E-2,
0.033,1.069E-3,7.742E-2,0.124
0.067,5.157E-3,7.600E-2,0.145
0.100,1.009E-2,7.394E-2,0.151
0.133,1.493E-2,7.354E-2,0.168
0.167,2.111E-2,7.211E-2,0.204
0.200,2.823E-2,7.058E-2,0.226
0.233,3.584E-2,6.897E-2,0.231
0.267,4.332E-2,6.735E-2,0.210
0.300,4.960E-2,6.646E-2,0.215
0.333,5.749E-2,6.533E-2,0.228
0.367,6.470E-2,6.477E-2,0.245
0.400,7.369E-2,6.338E-2,0.281
0.433,8.323E-2,6.198E-2,0.263
0.467,9.113E-2,6.161E-2,0.248
0.500,9.977E-2,6.160E-2,0.271
0.533,0.109,6.185E-2,0.277
0.567,0.118,6.212E-2,0.279
0.600,0.128,6.212E-2,0.288
0.633,0.137,6.184E-2,0.288
0.667,0.147,6.044E-2,0.269
0.700,0.155,5.930E-2,0.228
0.733,0.162,5.835E-2,0.217
0.767,0.169,5.696E-2,0.224
0.800,0.177,5.555E-2,0.192
0.833,0.182,5.498E-2,0.182
0.867,0.189,5.522E-2,0.206
0.900,0.196,5.593E-2,0.226
0.933,0.204,5.722E-2,0.239
0.967,0.212,5.807E-2,0.238
1.000,0.220,5.800E-2,0.216
1.033,0.226,5.712E-2,0.173
1.067,0.231,5.573E-2,0.141
1.100,0.235,5.428E-2,0.103
1.133,0.237,5.351E-2,6.127E-2
1.167,0.239,5.367E-2,7.066E-2
1.200,0.242,5.444E-2,0.108
1.233,0.246,5.584E-2,0.133
1.267,0.251,5.702E-2,0.143
1.300,0.255,5.721E-2,0.125
1.333,0.259,5.617E-2,9.736E-2
1.367,0.261,5.467E-2,5.805E-2
1.400,0.262,5.360E-2,2.102E-2
1.433,0.261,5.330E-2,
