masa_A
t,x,y,v
0.000,-8.488E-4,6.998E-2,
0.033,6.920E-4,6.983E-2,6.316E-2
0.067,3.063E-3,6.842E-2,8.399E-2
0.100,5.881E-3,6.772E-2,0.111
0.133,1.022E-2,6.649E-2,0.128
0.167,1.421E-2,6.582E-2,0.142
0.200,1.950E-2,6.465E-2,0.158
0.233,2.464E-2,6.424E-2,0.178
0.267,3.125E-2,6.314E-2,0.195
0.300,3.751E-2,6.252E-2,0.207
0.333,4.494E-2,6.162E-2,0.223
0.367,5.229E-2,6.113E-2,0.228
0.400,6.014E-2,6.097E-2,0.234
0.433,6.791E-2,6.047E-2,0.254
0.467,7.698E-2,5.935E-2,0.258
0.500,8.506E-2,5.922E-2,0.260
0.533,9.431E-2,5.928E-2,0.277
0.567,0.103,5.920E-2,0.271
0.600,0.112,5.920E-2,0.262
0.633,0.121,5.885E-2,0.262
0.667,0.130,5.789E-2,0.261
0.700,0.138,5.661E-2,0.235
0.733,0.145,5.573E-2,0.218
0.767,0.153,5.480E-2,0.208
0.800,0.159,5.433E-2,0.198
0.833,0.166,5.411E-2,0.203
0.867,0.173,5.424E-2,0.218
0.900,0.180,5.474E-2,0.232
0.933,0.188,5.566E-2,0.245
0.967,0.197,5.634E-2,0.250
1.000,0.205,5.627E-2,0.219
1.033,0.211,5.585E-2,0.184
1.067,0.217,5.463E-2,0.157
1.100,0.221,5.342E-2,0.124
1.133,0.225,5.322E-2,9.848E-2
1.167,0.228,5.300E-2,9.582E-2
1.200,0.231,5.327E-2,0.114
1.233,0.235,5.400E-2,0.129
1.267,0.240,5.503E-2,0.134
1.300,0.244,5.525E-2,0.130
1.333,0.248,5.457E-2,0.104
1.367,0.251,5.336E-2,6.604E-2
1.400,0.252,5.222E-2,3.050E-2
1.433,0.253,5.252E-2,2.108E-2
1.467,0.253,5.309E-2,2.436E-2
1.500,0.254,5.355E-2,5.153E-2
1.533,0.256,5.439E-2,8.403E-2
1.567,0.259,5.503E-2,
