masa_A
t,x,y,v
0.000,-1.964E-3,7.241E-2,
0.033,-1.897E-3,7.239E-2,2.024E-2
0.067,-6.147E-4,7.237E-2,4.179E-2
0.100,8.850E-4,7.224E-2,5.952E-2
0.133,3.280E-3,7.161E-2,8.171E-2
0.167,6.115E-3,7.071E-2,0.108
0.200,1.032E-2,7.004E-2,0.137
0.233,1.502E-2,6.879E-2,0.156
0.267,2.038E-2,6.740E-2,0.166
0.300,2.593E-2,6.682E-2,0.172
0.333,3.186E-2,6.664E-2,0.194
0.367,3.888E-2,6.664E-2,0.220
0.400,4.651E-2,6.676E-2,0.239
0.433,5.479E-2,6.714E-2,0.249
0.467,6.310E-2,6.780E-2,0.258
0.500,7.196E-2,6.838E-2,0.282
0.533,8.186E-2,6.872E-2,0.311
0.567,9.270E-2,6.775E-2,0.329
0.600,0.104,6.756E-2,0.338
0.633,0.115,6.788E-2,0.336
0.667,0.126,6.698E-2,0.336
0.700,0.138,6.682E-2,0.325
0.733,0.148,6.665E-2,0.289
0.767,0.157,6.550E-2,0.267
0.800,0.166,6.556E-2,0.259
0.833,0.174,6.562E-2,0.249
0.867,0.182,6.397E-2,0.223
0.900,0.189,6.451E-2,0.212
0.933,0.196,6.528E-2,0.226
0.967,0.204,6.437E-2,0.240
1.000,0.212,6.248E-2,0.266
1.033,0.221,6.203E-2,0.248
1.067,0.228,6.016E-2,0.220
1.100,0.236,6.022E-2,0.234
1.133,0.244,5.954E-2,0.206
1.167,0.249,5.715E-2,0.143
1.200,0.253,5.645E-2,9.229E-2
1.233,0.256,5.622E-2,0.121
1.267,0.261,5.699E-2,0.167
1.300,0.266,5.824E-2,0.182
1.333,0.273,5.756E-2,0.159
1.367,0.277,5.637E-2,9.344E-2
1.400,0.279,5.541E-2,5.419E-2
1.433,0.280,5.518E-2,4.390E-2
1.467,0.281,5.348E-2,2.629E-2
1.500,0.281,5.373E-2,4.267E-2
1.533,0.284,5.447E-2,7.372E-2
1.567,0.286,5.449E-2,7.664E-2
1.600,0.289,5.475E-2,6.208E-2
1.633,0.290,5.476E-2,
