masa_A
t,x,y,v
0.000000000E0,2.926581766E-3,7.382250788E-2,
3.333333333E-2,4.467330922E-3,7.367063972E-2,6.316138519E-2
6.666666667E-2,6.837957067E-3,7.226313791E-2,8.399462803E-2
1.000000000E-1,9.656094748E-3,7.156523738E-2,1.112155358E-1
1.333333333E-1,1.399683642E-2,7.033354862E-2,1.281576399E-1
1.666666667E-1,1.798480321E-2,6.966001749E-2,1.418432086E-1
2.000000000E-1,2.327120270E-2,6.848798323E-2,1.581639848E-1
2.333333333E-1,2.841084796E-2,6.808549250E-2,1.777156039E-1
2.666666667E-1,3.502324109E-2,6.698540115E-2,1.948161300E-1
3.000000000E-1,4.128372406E-2,6.636197776E-2,2.066267909E-1
3.333333333E-1,4.871353320E-2,6.545902757E-2,2.227432949E-1
3.666666667E-1,5.606784843E-2,6.496953720E-2,2.282556015E-1
4.000000000E-1,6.391696994E-2,6.481573867E-2,2.344609364E-1
4.333333333E-1,7.168467554E-2,6.431044448E-2,2.537356686E-1
4.666666667E-1,8.075473862E-2,6.319375440E-2,2.579280510E-1
5.000000000E-1,8.883433345E-2,6.305974340E-2,2.599349489E-1
5.333333333E-1,9.808356842E-2,6.311772429E-2,2.765153539E-1
5.666666667E-1,1.072686803E-1,6.304042744E-2,2.709322213E-1
6.000000000E-1,1.161455767E-1,6.304665088E-2,2.616225792E-1
6.333333333E-1,1.247066836E-1,6.269093267E-2,2.621794524E-1
6.666666667E-1,1.335748815E-1,6.173446000E-2,2.607173378E-1
7.000000000E-1,1.419433334E-1,6.045430992E-2,2.349089299E-1
7.333333333E-1,1.490850590E-1,5.956913316E-2,2.184584089E-1
7.666666667E-1,1.563940777E-1,5.864240562E-2,2.084731891E-1
8.000000000E-1,1.629124594E-1,5.816795106E-2,1.977939563E-1
8.333333333E-1,1.695621471E-1,5.794994661E-2,2.026878216E-1
8.666666667E-1,1.764247320E-1,5.808594614E-2,2.177509983E-1
9.000000000E-1,1.840649974E-1,5.858467247E-2,2.320481898E-1
9.333333333E-1,1.918297732E-1,5.950082112E-2,2.453533253E-1
9.666666667E-1,2.003434619E-1,6.018448204E-2,2.495651016E-1
1.000000000E0,2.084561598E-1,6.011356001E-2,2.192825787E-1
1.033333333E0,2.149539848E-1,5.969147109E-2,1.836228914E-1
1.066666667E0,2.205864545E-1,5.846707537E-2,1.567240531E-1
1.100000000E0,2.251148983E-1,5.725791644E-2,1.241005138E-1
1.133333333E0,2.287389005E-1,5.705773719E-2,9.848217683E-2
1.166666667E0,2.316671104E-1,5.684075446E-2,9.581650781E-2
1.200000000E0,2.351264210E-1,5.711388401E-2,1.137653126E-1
1.233333333E0,2.391850685E-1,5.784212072E-2,1.288163833E-1
1.266666667E0,2.435327948E-1,5.886958379E-2,1.341928059E-1
1.300000000E0,2.480439410E-1,5.908897252E-2,1.301900276E-1
1.333333333E0,2.522001811E-1,5.841431018E-2,1.038351027E-1
1.366666667E0,2.547036438E-1,5.720028183E-2,6.604361502E-2
1.400000000E0,2.559205382E-1,5.605962579E-2,3.050023121E-2
1.433333333E0,2.565553128E-1,5.636014550E-2,2.108418159E-2
1.466666667E0,2.570244837E-1,5.692971191E-2,2.436019867E-2
1.500000000E0,2.578056634E-1,5.739650570E-2,5.152600444E-2
1.533333333E0,2.602015540E-1,5.823581645E-2,8.403244944E-2
1.566666667E0,2.632114105E-1,5.886692449E-2,
