masa_A
t,x,y
0.000,-5.834E-3,7.617E-2
0.033,-4.607E-3,7.636E-2
0.067,-3.080E-3,7.727E-2
0.100,-8.459E-4,7.749E-2
0.133,1.727E-3,7.813E-2
0.167,4.350E-3,7.855E-2
0.200,6.860E-3,7.867E-2
0.233,9.713E-3,7.883E-2
0.267,1.277E-2,7.878E-2
0.300,1.616E-2,7.931E-2
0.333,1.942E-2,7.958E-2
0.367,2.283E-2,7.965E-2
0.400,2.651E-2,7.978E-2
0.433,3.033E-2,7.997E-2
0.467,3.421E-2,8.016E-2
0.500,3.849E-2,7.978E-2
0.533,4.259E-2,7.972E-2
0.567,4.701E-2,7.940E-2
0.600,5.135E-2,7.928E-2
0.633,5.570E-2,7.915E-2
0.667,6.005E-2,7.911E-2
0.700,6.447E-2,7.897E-2
0.733,6.879E-2,7.876E-2
0.767,7.334E-2,7.857E-2
0.800,7.756E-2,7.845E-2
0.833,8.302E-2,7.822E-2
0.867,8.878E-2,7.750E-2
0.900,9.377E-2,7.708E-2
0.933,9.893E-2,7.666E-2
0.967,0.104,7.590E-2
1.000,0.109,7.497E-2
1.033,0.114,7.467E-2
1.067,0.120,7.368E-2
1.100,0.125,7.325E-2
1.133,0.131,7.224E-2
1.167,0.135,7.152E-2
1.200,0.141,7.065E-2
1.233,0.146,7.024E-2
1.267,0.152,6.995E-2
1.300,0.157,6.959E-2
1.333,0.163,6.913E-2
1.367,0.168,6.853E-2
1.400,0.173,6.772E-2
1.433,0.178,6.703E-2
1.467,0.184,6.646E-2
1.500,0.189,6.574E-2
1.533,0.194,6.489E-2
1.567,0.199,6.422E-2
1.600,0.205,6.377E-2
1.633,0.210,6.335E-2
1.667,0.215,6.287E-2
1.700,0.221,6.248E-2
1.733,0.225,6.217E-2
1.767,0.230,6.201E-2
1.800,0.234,6.206E-2
1.833,0.239,6.227E-2
1.867,0.244,6.229E-2
1.900,0.248,6.224E-2
1.933,0.253,6.200E-2
1.967,0.257,6.197E-2
2.000,0.261,6.221E-2
2.033,0.265,6.210E-2
2.067,0.269,6.203E-2
2.100,0.273,6.175E-2
2.133,0.278,6.120E-2
2.167,0.282,6.079E-2
2.200,0.290,5.967E-2
2.233,0.293,5.949E-2
2.267,0.296,5.956E-2
2.300,0.299,5.952E-2
2.333,0.301,5.951E-2
2.367,0.305,5.907E-2
2.400,0.310,5.948E-2
2.433,0.314,5.991E-2
2.467,0.316,5.870E-2
2.500,0.318,5.916E-2
2.533,0.321,5.945E-2
2.567,0.324,5.957E-2
2.600,0.327,5.952E-2
2.633,0.329,5.914E-2
2.667,0.332,5.842E-2
2.700,0.336,5.803E-2
2.733,0.338,5.833E-2
2.767,0.339,5.830E-2
2.800,0.341,5.844E-2
2.833,0.342,5.842E-2
2.867,0.344,5.838E-2
2.900,0.346,5.836E-2
2.933,0.347,5.833E-2
2.967,0.348,5.832E-2
3.000,0.349,5.829E-2
3.033,0.350,5.827E-2
3.067,0.352,5.808E-2
3.100,0.353,5.806E-2
3.133,0.354,5.804E-2
3.167,0.355,5.803E-2
3.200,0.356,5.801E-2
3.233,0.356,5.767E-2
