masa_A
t,x,y
0.000,1.000E-3,6.533E-2
0.033,2.503E-3,6.544E-2
0.067,4.350E-3,6.563E-2
0.100,6.397E-3,6.618E-2
0.133,8.623E-3,6.659E-2
0.167,1.054E-2,6.670E-2
0.200,1.285E-2,6.674E-2
0.233,1.533E-2,6.690E-2
0.267,1.793E-2,6.698E-2
0.300,2.037E-2,6.741E-2
0.333,2.359E-2,6.790E-2
0.367,2.688E-2,6.810E-2
0.400,3.028E-2,6.816E-2
0.433,3.417E-2,6.840E-2
0.467,3.829E-2,6.859E-2
0.500,4.195E-2,6.899E-2
0.533,4.646E-2,6.935E-2
0.567,5.148E-2,6.962E-2
0.600,5.580E-2,7.057E-2
0.633,6.128E-2,7.091E-2
0.667,6.586E-2,7.138E-2
0.700,7.205E-2,7.197E-2
0.733,7.849E-2,7.200E-2
0.767,8.528E-2,7.201E-2
0.800,9.252E-2,7.179E-2
0.833,1.000E-1,7.176E-2
0.867,0.109,7.099E-2
0.900,0.117,7.064E-2
0.933,0.125,7.040E-2
0.967,0.133,6.988E-2
1.000,0.141,6.908E-2
1.033,0.149,6.829E-2
1.067,0.157,6.769E-2
1.100,0.165,6.713E-2
1.133,0.171,6.667E-2
1.167,0.178,6.621E-2
1.200,0.184,6.578E-2
1.233,0.190,6.541E-2
1.267,0.196,6.514E-2
1.300,0.202,6.505E-2
1.333,0.208,6.400E-2
1.367,0.216,6.333E-2
1.400,0.222,6.400E-2
1.433,0.227,6.403E-2
1.467,0.233,6.404E-2
1.500,0.238,6.397E-2
1.533,0.244,6.372E-2
1.567,0.250,6.289E-2
1.600,0.256,6.249E-2
1.633,0.261,6.224E-2
1.667,0.266,6.214E-2
1.700,0.272,6.100E-2
1.733,0.276,6.092E-2
1.767,0.279,6.091E-2
1.800,0.283,6.092E-2
1.833,0.287,6.091E-2
1.867,0.291,6.061E-2
1.900,0.294,6.056E-2
1.933,0.297,6.087E-2
1.967,0.300,6.094E-2
2.000,0.304,6.093E-2
2.033,0.307,6.076E-2
2.067,0.310,6.032E-2
2.100,0.313,5.993E-2
2.133,0.316,5.978E-2
2.167,0.318,5.978E-2
2.200,0.320,5.977E-2
2.233,0.322,5.988E-2
2.267,0.324,5.986E-2
2.300,0.326,5.987E-2
2.333,0.328,5.982E-2
2.367,0.329,5.998E-2
2.400,0.331,6.014E-2
2.433,0.333,6.014E-2
2.467,0.334,5.993E-2
2.500,0.336,5.977E-2
2.533,0.337,5.969E-2
2.567,0.338,5.966E-2
2.600,0.339,5.967E-2
