masa_A
t,x,y,v
0.000,1.333E-3,6.267E-2,
0.033,2.836E-3,6.277E-2,5.044E-2
0.067,4.683E-3,6.296E-2,5.946E-2
0.100,6.730E-3,6.351E-2,6.570E-2
0.133,8.957E-3,6.392E-2,6.271E-2
0.167,1.088E-2,6.403E-2,6.342E-2
0.200,1.318E-2,6.407E-2,7.191E-2
0.233,1.567E-2,6.423E-2,7.629E-2
0.267,1.826E-2,6.431E-2,7.592E-2
0.300,2.070E-2,6.474E-2,8.598E-2
0.333,2.392E-2,6.524E-2,9.825E-2
0.367,2.722E-2,6.544E-2,0.100
0.400,3.061E-2,6.549E-2,0.109
0.433,3.450E-2,6.573E-2,0.120
0.467,3.863E-2,6.592E-2,0.117
0.500,4.228E-2,6.632E-2,0.123
0.533,4.679E-2,6.669E-2,0.143
0.567,5.182E-2,6.695E-2,0.141
0.600,5.614E-2,6.790E-2,0.148
0.633,6.162E-2,6.824E-2,0.151
0.667,6.619E-2,6.871E-2,0.162
0.700,7.238E-2,6.930E-2,0.190
0.733,7.882E-2,6.933E-2,0.199
0.767,8.561E-2,6.934E-2,0.211
0.800,9.286E-2,6.912E-2,0.221
0.833,0.100,6.910E-2,0.243
0.867,0.109,6.832E-2,0.250
0.900,0.117,6.797E-2,0.239
0.933,0.125,6.774E-2,0.249
0.967,0.134,6.721E-2,0.246
1.000,0.141,6.641E-2,0.242
1.033,0.150,6.562E-2,0.238
1.067,0.157,6.502E-2,0.229
1.100,0.165,6.447E-2,0.221
1.133,0.172,6.400E-2,0.203
1.167,0.178,6.354E-2,0.191
1.200,0.184,6.312E-2,0.182
1.233,0.190,6.275E-2,0.183
1.267,0.197,6.248E-2,0.180
1.300,0.202,6.238E-2,0.181
1.333,0.209,6.133E-2,0.210
1.367,0.216,6.067E-2,0.205
1.400,0.222,6.133E-2,0.170
1.433,0.228,6.136E-2,0.161
1.467,0.233,6.137E-2,0.167
1.500,0.239,6.130E-2,0.165
1.533,0.244,6.105E-2,0.180
1.567,0.251,6.022E-2,0.182
1.600,0.256,5.983E-2,0.163
1.633,0.262,5.958E-2,0.158
1.667,0.267,5.947E-2,0.157
1.700,0.272,5.833E-2,0.142
1.733,0.276,5.825E-2,0.117
1.767,0.280,5.824E-2,0.111
1.800,0.283,5.825E-2,0.116
1.833,0.287,5.825E-2,0.119
1.867,0.291,5.794E-2,0.104
1.900,0.294,5.789E-2,9.174E-2
1.933,0.297,5.820E-2,9.614E-2
1.967,0.301,5.827E-2,0.100
2.000,0.304,5.826E-2,0.104
2.033,0.308,5.810E-2,9.997E-2
2.067,0.311,5.766E-2,9.070E-2
2.100,0.314,5.726E-2,8.140E-2
2.133,0.316,5.712E-2,6.956E-2
2.167,0.318,5.711E-2,5.856E-2
2.200,0.320,5.710E-2,5.572E-2
2.233,0.322,5.721E-2,6.089E-2
2.267,0.324,5.720E-2,6.237E-2
2.300,0.326,5.720E-2,5.523E-2
2.333,0.328,5.715E-2,4.656E-2
2.367,0.329,5.732E-2,4.849E-2
2.400,0.331,5.747E-2,5.403E-2
2.433,0.333,5.748E-2,5.663E-2
2.467,0.335,5.727E-2,5.450E-2
2.500,0.337,5.710E-2,4.464E-2
2.533,0.338,5.702E-2,3.306E-2
2.567,0.339,5.699E-2,3.044E-2
2.600,0.340,5.700E-2,4.111E-2
2.633,0.341,5.683E-2,4.619E-2
2.667,0.343,5.633E-2,4.562E-2
2.700,0.344,5.633E-2,4.776E-2
2.733,0.346,5.600E-2,
